KEGGid,SMILES_by_ChEBI
C01794,[H][C@@](C)(CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C
C01795,COc1cc2CC[n+]3cc4c(OC)c(OC)ccc4cc3-c2cc1O
C01796,OC[C@@H](O)[C@@H](O)C=O
C01798,[C@@H]1(OC([C@H](O)[C@H]([C@@H]1O)O)O*)CO
C01799,CCC[C@@H](N)C(O)=O
C01800,O=c1nc2[nH]c3ccccc3cc2c(=O)[nH]1
C01801,OC[C@@H](O)[C@@H](O)CC=O
C01802,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC=C(C)C
C01804,CC(C)=CCNc1ncn(CC[C@H](N)C(O)=O)c2ncnc12
C01806,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=S)[C@@H](O)[C@H]1O
C01810,None
C01812,OC(=O)C*
C01813,OC(*)[*]
C01814,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1
C01816,CCCCCCCCCCCCCCCCC
C01817,C(C(CCSSCCC(C(=O)O)N)N)(O)=O
C01818,[O-]N=N[O-]
C01819,Nc1c[nH]c2ccccc12
C01821,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1c(O)cc2oc(cc(=O)c2c1O)-c1ccc(O)c(O)c1
C01822,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C01823,N[C@H]1C[C@@H](N)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](N)[C@H]2O)[C@@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N
C01825,OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O
C01826,C([C@@H](N)CCC)(=O)O
C01829,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(O)=O
C01832,CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C01833,N1([C@@H](CCC1)C(O)=O)C(CNC([C@H](CC(C)C)N)=O)=O
C01834,None
C01835,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
C01836,[C@@H]1(N(C([C@@H](NC([C@@H](NC([C@@H](NC([C@H](CC2=CC=C(O)C=C2)NC([C@@H](NC([C@H]3NC(=O)CC3)=O)CC(C)C)=O)=O)CCC(O)=O)=O)CC(N)=O)=O)CCCCN)=O)CCC1)C(N[C@H](C(N[C@H](C(N4[C@H](C(N[C@@H](CC=5C=CC(=CC5)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)O)=O)CCC4)=O)CCCNC(N)=N)=O)CCCNC(N)=N)=O
C01837,CC[N+]([O-])=O
C01838,CCCCCCCCCCCCCCCCCC=O
C01839,Cc1cc(O)cc(O)c1C(O)=O
C01841,[H][C@@]12CC(C)(C)C[C@@]11[C@H](C)CC[C@@]1([H])C(C)=C2
C01842,CCCCC(N)=O
C01843,None
C01844,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
C01845,CC(C)O
C01847,Cc1cc2Nc3c([nH]c(=O)[nH]c3=O)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)c2cc1C
C01848,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)cc(OCC(O)=O)c4c3C2=O
C01849,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=CC1(OCC(=O)O1)c4c3C2=O
C01850,OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1
C01851,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1
C01852,[C@H]1(O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CO)O[C@H]2[C@@H]([C@@H](C(=CO2)C(OC)=O)CC=O)C=C
C01853,OC(=O)c1cc(O)cc(=O)c(O)c1
C01854,N[C@H]1[C@H](O)[C@@H](N)[C@H](O)[C@@H](O)[C@@H]1O
C01855,OC[C@H]1O[C@@H](O[C@@H](C#N)c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
C01857,CC(S)=O
C01860,CC1=CC[C@](C)(CC1)[C@@]1(C)CCCC1=C
C01861,[O-]S(=O)(=O)SS([O-])(=O)=O
C01863,[H][C@@]12O[C@@]3(O)CC(=O)c4c(O)c5[C@@H](C)O[C@H](C)[C@@]6([H])O[C@@]7(O)CC(=O)c8c(O)c([C@@H](C)O[C@@H]1C)c2c1c3c4c(c56)c7c81
C01864,COc1c2occc2cc2ccc(=O)oc12
C01865,None
C01866,C1(C(N(*)C1*)=O)*
C01867,None
C01868,CC(C)[C@@]12C[C@@H]1C(=C)C(=O)C2
C01869,CNC[C@H](O)c1ccc(O)cc1
C01870,O[C@H]1CO[C@H](OC[C@H]2O[C@@H](O[C@@H](C#N)c3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
C01871,C1CSCCS1
C01872,*C*
C01874,Oc1ccccc1I
C01875,CCCCCCCCCC(C)=O
C01876,C12C(C3C(C(CC3)*)(C)CC1)CCC4C2(CCC(C4)=O)C
C01877,C1[C@](NCC1=O)(C(O)=O)[H]
C01879,OC(=O)[C@@H]1CCC(=O)N1
C01880,O=C1CCCCCO1
C01881,C12C(C3C(C(CC3)*)(C)CC1)C(CC4C2(CCCC4)C)=O
C01882,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC2O[C@H](CO)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O
C01883,CC(=O)O[*]
C01884,None
C01885,OCC(O)COC([*])=O
C01887,None
C01888,CC(=O)CN
C01889,None
C01890,*N
C01892,OC(=O)C1CSSC1
C01893,[H][C@]12CS[C@@H](CCCCC(N)=O)[C@@]1([H])NC(=O)N2
C01894,[H][C@@]12CS[C@H](CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3OP(O)(O)=O)n3cnc4c(N)ncnc34)[C@]1([H])NC(=O)N2
C01895,None
C01897,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccccc4cc3Cn1c2=O
C01898,None
C01901,None
C01902,[C@]123[C@@]4([C@](C([C@@H](O)CC4)(C)C)(CC[C@]1([C@]5([C@@]([C@@]([C@@H](CCC=C(C)C)C)(CC5)[H])(CC2)C)C)[H])[H])C3
C01904,OC[C@@H](O)C(O)[C@H](O)CO
C01905,OC([C@@H](CC(N)=O)N)=O
C01906,[H]C(=O)[C@@](O)(CO)[C@H](O)[C@H](O)CO
C01907,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(C)=O
C01909,CC1NC(=O)NC1CCCCCC(O)=O
C01910,None
C01912,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
C01913,N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N
C01915,None
C01917,CN[C@@H]1[C@@H](O)CO[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H]1O
C01918,None
C01920,CC(C)=CCC\C(C)=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C01921,C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
C01923,None
C01924,N[C@@H](CCCCNC(N)=N)C(O)=O
C01925,CN[C@H]1C[C@@H](N)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3O[C@@]4(O[C@H](C(N)CO)[C@H](O)[C@H](O)[C@H]4O)O[C@H]23)[C@@H]1O
C01926,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1
C01927,O=C1C(COc2ccccc12)c1ccccc1
C01928,None
C01929,[H]C(=O)[C@@H](N)Cc1c[nH]cn1
C01930,NCCCC[C@H](N)C(N)=O
C01931,None
C01933,CCCC[C@H](N)C([O-])=O
C01934,C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(O)=O
C01935,None
C01936,OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)C=O
C01937,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
C01938,Oc1ccc(O)c2C(=O)C=CC(=O)c12
C01941,N[C@H](CCOc1ccc(cc1)C(=N\O)\C(=O)N[C@H]1CN([C@@H](C(O)=O)c2ccc(O)cc2)C1=O)C(O)=O
C01942,CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C01943,CC(C)C(=C)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@@H](C)C1CC3
C01944,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C01945,None
C01946,CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O
C01948,[H]C(=O)CCCCCCCCCCCCCC
C01949,CCCC(C)=O
C01950,NC(=O)c1ccccn1
C01951,CC1=CC(=O)C(CC1)=C(C)C
C01952,None
C01953,[H][C@@]12CC=C3C[C@@H](O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H](CC[C@@]21[H])C(C)=O
C01956,NC(=O)c1cnccn1
C01957,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@@H](CC=O)[C@H]2C=C)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
C01958,C12C(C3C(C(CC3)*)(C)CC1)CCC4C2(CCC(C4)OC(*)=O)C
C01959,C(S(=O)(O)=O)CNC(=N)N
C01960,None
C01961,CN(C)[C@@H](COP(O)(=O)OCCNC(N)=N)C(O)=O
C01962,C([C@H](N)C(=O)O)SS
C01963,CC(=O)Oc1ccc(C)cc1
C01964,Cc1ccc(cc1)S(=O)(=O)c1ccc(CCl)cc1
C01965,C=1(CC=2C(=NC(N)=NC2)N)C=C(C(OC)=C(C1)OC)OC
C01967,COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O
C01968,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CO
C01969,NC(CC(=O)c1cccc2oc3cc(=O)c4nc(cc(O)c4c3nc12)C(O)=O)C(O)=O
C01970,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C01971,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C01972,None
C01977,None
C01978,None
C01983,O[C@@H](C(O)=O)c1ccccc1
C01984,O[C@H](C(O)=O)c1ccccc1
C01985,C12(CCCCC1CCC3C2C(CC4(C3CCC4*)C)=O)C
C01986,C12C(C3C(C(C(C3)=O)*)(C)CC1)CCC4C2(CCCC4)C
C01987,Nc1ccccc1O
C01988,Oc1ccccc1[N+]([O-])=O
C01989,CCC(C(O)C(O)=O)C(O)=O
C01990,OC(C(C([O-])=O)C(=O)C([O-])=O)C([O-])=O
C01991,OCCCC(O)=O
C01993,[H]C(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(O)ncnc12
C01995,CC(C)=NO
C01996,CC(=O)OCC[N+](C)(C)C
C01997,None
C01998,C=CC#N
C02000,None
C02001,OCC=C
C02002,None
C02003,[*-].[*]c1c([*])c([*])c(c([*])c1[*])-c1[o+]c2c([*])c([*])c([*])c([*])c2c([*])c1[*]
C02004,C[C@@H]1CCCC2=CC[C@H](C[C@@]12C)C(C)=C
C02006,Oc1ccc(cc1)\C=C1OC(=O)C(=C/1O)c1ccc(O)cc1
C02007,None
C02008,CC(C)=CCc1cc(ccc1O)\C=C1OC(=O)C(=C/1O)c1ccc(O)c(CC=C(C)C)c1
C02009,c1ccc2[nH]cnc2c1
C02010,CN(CC[C@H](N)CC(=O)N[C@H]1C=C[C@@H](O[C@@H]1C(O)=O)n1ccc(N)nc1=O)C(N)=N
C02012,None
C02013,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C02015,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C02017,CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O
C02018,N#Cc1cnccn1
C02020,OC1CCCC1
C02021,None
C02022,OCC(O)C(=O)CO
C02023,None
C02024,OC1O[C@@H]([C@@H](O)[C@H](O)[C@@H]1O)C(O)=O
C02026,None
C02027,[H][C@]12CC(=O)OC[C@@]1([C@@]1([H])CC[C@]3(C)C(CC(=O)O[C@@]3([H])c3ccoc3)=C1C)[C@@]([H])(CC(O)=O)C(C)(C)O2
C02028,None
C02029,C[C@@H](CO)CCNc1ncnc2nc[nH]c12
C02030,[H]C(CCC(C)=C([H])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)=C(C)CCC=C(C)C
C02031,None
C02033,[H][C@](C)(N)[C@]1([H])CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1
C02034,[H][C@@]12CC[C@]3(O)C[C@]1(CC3=C)[C@@H](C(O)=O)[C@]1([H])[C@@](C)(CCC[C@@]21C=O)C(O)=O
C02035,[H][C@@]12CC[C@]3(O)C[C@]1(CC3=C)[C@@H](C(O)=O)[C@]1([H])[C@@]3(C)CCC[C@@]21OC3=O
C02037,NCC(=O)NCC(O)=O
C02038,None
C02040,None
C02041,CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C02043,OC(Cc1c[nH]c2ccccc12)C([O-])=O
C02045,OCC(O)C(=O)CO
C02046,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)c1ccccc1
C02047,None
C02048,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)C(O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C02049,None
C02050,CCCCC\C=C/C\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C02051,None
C02052,OC[C@@H](O)[C@@H](O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)C=O
C02055,OC(=O)CNC([*])=O
C02056,None
C02057,NC(Cc1ccccc1)C(O)=O
C02058,None
C02059,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)c2ccccc2C1=O
C02060,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C02061,CCCCCCCCCCC1=CC(=O)C(C)=C(C)C1=O
C02064,CCCCCCCC[C@H]1CCC[C@@H]1CCCCCCC(O)=O
C02065,C[C@H](NC([*])=O)C(=O)N[*]
C02066,CN1[C@H]2CC[C@@H]1C[C@@H](O)C2
C02067,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)c1c[nH]c(=O)[nH]c1=O
C02069,None
C02072,None
C02073,None
C02074,[H][C@@]12C[C@]3([H])N([C@H]4C[C@@]5([C@H](OC(C)=O)C14)c1ccccc1N=C35)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)\C2=C\C
C02075,CC(\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C/COC([*])=O
C02076,[H][C@@](O)(CO)[C@@]([H])(O)[C@@]([H])(O)[C@]([H])(O)C(=O)CO
C02077,NNC(N)=O
C02078,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O
C02079,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
C02080,Oc1cc(=O)c(O)cc2C(=O)OC(=O)c12
C02081,COc1ccc(c(O)c1OC)-c1c(C)c(nc(c1N)-c1ccc2C(=O)C(OC)=C(N)C(=O)c2n1)C(O)=O
C02083,C1OC1c1ccccc1
C02084,None
C02085,None
C02086,OC(=O)CS
C02087,Cc1ccc(cc1)S(=O)(=O)N[C@H](CCl)CCCNC(N)=N
C02088,Cc1ccc(cc1)S(=O)(=O)N[C@@H](Cc1ccccc1)C(=O)CCl
C02089,None
C02090,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)NCCCCNCCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H](N)C(O)=O)C(O)=O
C02091,NC(NC(N)=O)C(O)=O
C02094,CC(\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
C02095,C[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
C02096,O[C@@H]1CO[C@@H](O)[C@H](O)[C@H]1O
C02097,None
C02099,O=C1C[C@H](Oc2ccccc12)c1ccccc1
C02100,None
C02101,None
C02103,OC(C(*)*)=O
C02104,C[C@](O)(CCO)CC([O-])=O
C02105,COc1ccc(C[C@@H]2N(C)CCc3cc(OC)c(O)cc23)cc1O
C02106,[H][C@@]12Cc3ccc(OC)c(O)c3CN1CCc1cc(OC)c(O)cc21
C02107,O[C@@H]([C@H](O)C(O)=O)C(O)=O
C02108,CC1(C)C2CCC1(C)OC(=O)C2
C02110,CC(/C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C\C=O
C02111,OC(=O)C(=O)C([*])C([*])=O
C02112,OCC(CO)OC([*])=O
C02115,C([C@](N)(C)CO)(O)=O
C02116,CC(C)[N+]([O-])=O
C02117,CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)C(O)=O
C02118,OC(=O)C([*])C(=O)C([*])C([*])=O
C02119,[O-]C(=O)C(=O)CC([*])=O
C02122,CCCC(=O)CC([O-])=O
C02123,CCCC(C(O)C(O)=O)C(O)=O
C02124,Oc1ccc(Cl)cc1
C02125,[O-][N+](=O)c1ccc(NC([*])=O)cc1
C02126,Nc1ccc(cc1)[N+]([O-])=O
C02128,None
C02129,CC(=O)CCCC(O)=O
C02130,CC(=O)O[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
C02131,CC(=O)NCCCCNC(N)=N
C02132,CC(=O)CC(=O)C([O-])=O
C02133,OP(O)(=O)OC([*])=O
C02134,COc1ccc2CC(=O)c3cc4OCOc4cc3CCN(C)Cc2c1OC
C02135,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O
C02137,OC(=O)C(=O)c1ccccc1
C02138,C=1(C=CC([N+](=O)[O-])=CC1)OC([C@@H](NC(OC(C)(C)C)=O)CC(N)=O)=O
C02139,CCC1=C(C)C2=Cc3c(C=C)c(C)c4C=C5[C@@H](C)[C@H](CCC(O)=O)C6=[N+]5[Mg--]5(n34)n3c(=CC1=[N+]25)c(C)c1C(=O)[C@H](C(=O)OC)C6=c31
C02140,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@H](O)C[C@]12C)C(=O)CO
C02141,[H][C@@]12CC[C@@]3([H])[C@]4(C)CC[C@H]([C@H](C)CCC(=C)C(C)C)[C@@]4(C)CC[C@]33C[C@]13CC[C@H](O)[C@H]2C
C02142,None
C02143,O1C(C([C@H]([C@@H](C1O)O)O)O)*
C02144,N\C(=C\[*])C(=O)N[C@@H]([*])C(O)=O
C02146,[*]C([*])=O
C02147,OC(=O)CCCCC(S)CCS
C02150,OC(=O)C(=O)CC=O
C02151,C=12[C@]3(N(C/C(/[C@H](C3)/C(=C\O)/C(=O)OC)=C/C)CCC1C4=CC=CC=C4N2)[H]
C02153,[C@H]1(O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CO)S/C(=N\OS(O)(=O)=O)/CC=2C=CC=CC2
C02154,[H]C(=O)C(O)CO
C02155,CC(C)C[C@H](NC(=O)CN)C(O)=O
C02159,None
C02160,[H][C@@](O)(CO[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C=O
C02161,Nc1cc2nc3ccccc3oc2cc1=O
C02162,None
C02163,None
C02165,CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC(O)=O
C02166,CCCCC\C=C/C\C=C/C=C/C=C/[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)[C@@H](O)CCCC(O)=O
C02167,OC(=O)\C=C/C(=O)CC(=O)C(O)=O
C02168,Cc1cccc(Nc2ccccc2C(O)=O)c1C
C02170,CC(C([O-])=O)C([O-])=O
C02171,None
C02172,CC(=O)N1C(=O)C(=O)c2ccccc12
C02173,C[C@@H](O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O)[C@@H]1NC([*])=O)C(O)=O
C02174,None
C02179,None
C02180,OS(=O)(=O)Oc1ccccc1
C02181,OC(=O)COc1ccccc1
C02183,Oc1cc(O)cc(O)c1
C02185,CC(C)=CCc1cc(O)c(C)c(C)c1O
