KEGGid,SMILES_by_ChEBI
C00077,NCCC[C@H](N)C(O)=O
C00078,N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O
C00079,N[C@@H](Cc1ccccc1)C(O)=O
C00080,[H+]
C00081,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O
C00082,N[C@@H](Cc1ccc(O)cc1)C(O)=O
C00083,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
C00084,[H]C(C)=O
C00085,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O
C00086,NC(N)=O
C00087,None
C00088,[O-]N=O
C00089,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00090,Oc1ccccc1O
C00091,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O
C00092,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
C00093,OC[C@@H](O)COP(O)(O)=O
C00094,OS(O)=O
C00095,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
C00096,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
C00097,N[C@@H](CS)C(O)=O
C00098,None
C00099,NCCC(O)=O
C00100,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C00101,Nc1nc2NCC(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)Nc2c(=O)[nH]1
C00102,Oc1ccc(cc1)N=C1C=C(Cl)C(=O)C(Cl)=C1
C00103,OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
C00104,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O
C00105,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O
C00106,O=c1cc[nH]c(=O)[nH]1
C00107,None
C00108,Nc1ccccc1C([O-])=O
C00109,CCC(=O)C(O)=O
C00110,None
C00111,C(CO)(COP(O)(=O)O)=O
C00112,Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1
C00113,OC(=O)c1cc(C(O)=O)c-2c(n1)C(=O)C(=O)c1cc([nH]c-21)C(O)=O
C00114,C[N+](C)(C)CCO
C00116,OCC(O)CO
C00117,O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)C=O
C00118,[H]C(=O)[C@H](O)COP(O)(O)=O
C00119,O[C@H]1[C@@H](O)[C@H](O[C@@H]1COP(O)(O)=O)OP(O)(=O)OP(O)(O)=O
C00120,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
C00121,OC[C@H]1OC(O)[C@H](O)[C@@H]1O
C00122,OC(=O)\C=C\C(O)=O
C00123,CC(C)C[C@H](N)C(O)=O
C00124,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
C00125,None
C00126,None
C00127,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
C00128,[H][C@]1(O[C@](C[C@H](O)[C@H]1NC(C)=O)(OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O)C(O)=O)[C@H](O)[C@H](O)CO
C00129,CC(=C)CCOP(O)(=O)OP(O)(O)=O
C00130,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O
C00131,Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
C00132,CO
C00133,C[C@@H](N)C(O)=O
C00134,NCCCCN
C00135,N[C@@H](Cc1c[nH]cn1)C(O)=O
C00136,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C00137,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
C00138,None
C00139,None
C00140,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00141,CC(C)C(=O)C([O-])=O
C00143,[H][C@]12CNc3nc(N)[nH]c(=O)c3N1CN(C2)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
C00144,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
C00145,S[*]
C00146,Oc1ccccc1
C00147,Nc1ncnc2[nH]cnc12
C00148,OC(=O)[C@@H]1CCCN1
C00149,O[C@@H](CC([O-])=O)C([O-])=O
C00150,[Mo]
C00151,N[C@@H]([*])C(O)=O
C00152,N[C@@H](CC(N)=O)C(O)=O
C00153,NC(=O)c1cccnc1
C00154,[C@@H]1(N2C3=C(C(=NC=N3)N)N=C2)O[C@H](COP(OP(OCC(C)([C@H](C(NCCC(NCCSC(CCCCCCCCCCCCCCC)=O)=O)=O)O)C)(=O)O)(=O)O)[C@H]([C@H]1O)OP(O)(O)=O
C00155,N[C@@H](CCS)C(O)=O
C00156,OC(=O)c1ccc(O)cc1
C00157,C[N+](C)(C)CCOP(O)(=O)OCC(COC([*])=O)OC([*])=O
C00158,OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
C00159,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
C00160,OCC(O)=O
C00161,OC(=O)C([*])=O
C00162,OC([*])=O
C00163,CCC([O-])=O
C00164,CC(=O)CC(O)=O
C00165,[*]OCC(CO[*])O[*]
C00166,[O-]C(=O)C(=O)Cc1ccccc1
C00167,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O
C00168,OCC(=O)C([O-])=O
C00169,NC(=O)OP(O)(O)=O
C00170,CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
C00171,None
C00172,None
C00173,None
C00174,None
C00175,[Co]
C00176,Cc1cc2nc3c(nc(=O)[nH]c3=O)n([*])c2cc1C
C00177,[C-]#N
C00178,Cc1c[nH]c(=O)[nH]c1=O
C00179,NCCCCNC(N)=N
C00180,[O-]C(=O)c1ccccc1
C00181,OC[C@@H](O)[C@H](O)[C@@H](O)C=O
C00182,None
C00183,CC(C)[C@H](N)C(O)=O
C00184,C(CO)(CO)=O
C00185,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00186,C[C@H](O)C(O)=O
C00187,C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)O)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C
C00188,C[C@@H](O)[C@H](N)C(O)=O
C00189,NCCO
C00190,O[C@@H]1CO[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@H]1O
C00191,None
C00192,NO
C00193,*C(=O)[H]
C00194,[H][C@]12[C@H](CC(N)=O)[C@@]3(C)CCC(=O)NC[C@@H](C)OP([O-])(=O)O[C@@H]4[C@@H](CO)O[C@@H]([C@@H]4O)n4c[n+](c5cc(C)c(C)cc45)[Co-3]456(C[C@H]7O[C@H]([C@H](O)[C@@H]7O)n7cnc8c(N)ncnc78)N1C3=C(C)C1=[N+]4C(=CC3=[N+]5C(=C(C)C4=[N+]6[C@]2(C)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O
C00195,O[C@H]([*])[C@H](C[*])NC([*])=O
C00196,OC(=O)c1cccc(O)c1O
C00197,O[C@H](COP(O)(O)=O)C(O)=O
C00198,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
C00199,OCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O
C00200,COS([O-])(=O)=O.C[n+]1c2ccccc2nc2ccccc12
C00201,[C@H]1([C@H]([C@@H](O)[C@@H](O1)*)O)COP(OP(OP(=O)(O)O)(=O)O)(=O)O
C00202,CC(C)OP(F)(=O)OC(C)C
C00203,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O
C00204,OC[C@@H](O)[C@@H](O)CC(=O)C(O)=O
C00205,*
C00206,Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
C00207,CC(C)=O
C00208,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00209,OC(=O)C(O)=O
C00210,[H][C@@]12[C@H](CC(N)=O)[C@@](C)(CCC(=O)NC[C@@H](C)OP(O)(=O)O[C@H]3[C@@H](O)[C@@H](O)O[C@@H]3CO)C3=C(C)C4=[N]5C(=CC6=[N]7C(=C(C)C8=[N]([C@]1(C)[C@@](C)(CC(N)=O)[C@@H]8CCC(N)=O)[Co]57N23)[C@@](C)(CC(N)=O)[C@@H]6CCC(N)=O)C(C)(C)[C@@H]4CCC(N)=O
C00211,None
C00212,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
C00213,CNCC(O)=O
C00214,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
C00215,None
C00216,None
C00217,N[C@H](CCC(O)=O)C(O)=O
C00218,CN
C00219,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
