KEGGid,SMILES_by_ChEBI,SMILES_by_CAS
C08136,[Ca++].[Ca++].[Ca++].[O-]P([O-])([O-])=O.[O-]P([O-])([O-])=O,[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O
C08141,OP(O)(=O)C(Sc1ccc(Cl)cc1)P(O)(O)=O,[Na+].[Na+].O[P]([O-])(=O)C(Sc1ccc(Cl)cc1)[P](O)([O-])=O
C08142,[F-].[Na+],[F-].[Na+]
C08145,CC\C(c1ccc(OP(O)(O)=O)cc1)=C(\CC)c1ccc(OP(O)(O)=O)cc1,CC\C(=C(\CC)c1ccc(O[P](O)(O)=O)cc1)c2ccc(O[P](O)(O)=O)cc2
C08146,CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCOCC2)c(F)c1,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2
C08148,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
C08149,[H][C@]12CCC(=O)C=C1CC[C@]1([H])[C@]2([H])CC[C@@]2(CC)[C@@]1([H])CC[C@@]2(O)C#C,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
C08150,C1[C@]2([C@]3([C@@]([C@@]4(C(=CC(CC4)=O)[C@H](C3)C)C)(CC[C@@]2([C@@](C1)(OC(C)=O)C(=O)C)C)[H])[H])[H],C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(C)=O)C(C)=O)[C@@]4(C)CCC(=O)C=C14
C08151,[H][C@]12CC[C@@]3(C)[C@@]([H])(CC[C@]3(OC(C)=O)C(C)=O)[C@]1([H])C=CC1=CC(=O)CC[C@]21C,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
C08152,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C
C08153,CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
C08154,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C
C08155,[H][C@]12CCC(=O)C=C1CC[C@]1([H])[C@]2([H])CC[C@]2(C)[C@H](CC[C@@]12[H])OC(=O)CCc1ccccc1,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2OC(=O)CCc5ccccc5
C08156,[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H](CC[C@@]21[H])OC(=O)CCC1CCCC1,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5
C08157,[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@H](CC[C@@]21[H])OC(=O)CCCCCC,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C08158,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C08159,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N
C08160,None,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F
C08161,None,CCN(CC)CCOc1ccc(cc1)\C(=C(Cl)\c2ccccc2)c3ccccc3.OC(=O)CC(O)(CC(O)=O)C(O)=O
C08162,[H][C@@]12CC(=C)C3=CC(=O)C=C[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=O)CC[C@@]21[H],C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
C08163,N#Cc1ccc(cc1)C(c1ccc(cc1)C#N)n1cncn1,N#Cc1ccc(cc1)C(n2cncn2)c3ccc(cc3)C#N
C08164,CC1(C)NC(=O)N(C1=O)c1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,CC1(C)NC(=O)N(c2ccc(c(c2)C(F)(F)F)[N+]([O-])=O)C1=O
C08166,CN(C)CCOc1ccc(cc1)C(\c1ccccc1)=C(\CCCl)c1ccccc1,CN(C)CCOc1ccc(cc1)\C(=C(\CCCl)c2ccccc2)c3ccccc3
C08169,CN1C(C(=O)Nc2ncc(C)s2)=C(O)c2ccccc2S1(=O)=O,CN1C(=C(/O)Nc2sc(C)cn2)/C(=O)c3ccccc3[S]1(=O)=O
C08171,[Na+].[O-]C(=O)c1ccccc1S,[Na+].[O-]C(=O)c1ccccc1S
C08173,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
C08174,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O
C08175,None,[Na+].[Na+].C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[P]([O-])([O-])=O
C08176,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC1CCCC1,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)COC(=O)CCC5CCCC5)[C@@]4(C)C[C@H](O)[C@H]23
C08178,[Na+].C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC([O-])=O,[Na+].C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]4(C)C[C@H](O)[C@H]23
C08179,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14
C08180,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
C08182,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
C08183,[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
C08184,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O
C08185,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C
C08186,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
C08187,[H][C@@]12Cc3c[nH]c4cccc(c34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1
C08192,CCC(C)C(NC(=O)C(C)NC(=O)C(CC(O)=O)NC(=O)C(C)NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(C(C)O)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(O)=O)C(=O)NC(C(C)CC)C(=O)NC(CCSC)C(=O)NC(CO)C(=O)NC(CCCNC(N)=N)C(N)=O,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O.CC(O)=O
C08193,OC[C@H]1O[C@H](S[Au])[C@H](O)[C@@H](O)[C@@H]1O,[Au+].OC[C@H]1O[C@H]([S-])[C@H](O)[C@@H](O)[C@@H]1O
C08195,CN(C)CCOC(=O)COc1ccc(Cl)cc1,CN(C)CCOC(=O)COc1ccc(Cl)cc1
C08197,[Br-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,[Br-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
C08200,COS([O-])(=O)=O.CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,CO[S]([O-])(=O)=O.CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
C08201,[Cl-].CC(=O)OCC[N+](C)(C)C,[Cl-].CC(=O)OCC[N+](C)(C)C
C08202,None,[Cl-].CC(C[N+](C)(C)C)OC(N)=O
C08211,C1[C@]2([C@](/C(=C/C=C/3\C([C@H](C[C@@H](C3)O)O)=C)/CC1)(CC[C@@]2([C@H](C)/C=C/[C@@H](C(C)C)C)[H])[H])C,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)C[C@H](O)C3=C
C08212,[Na+].N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C([O-])=O,[Na+].N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C([O-])=O
C08215,None,None
C08217,CCC(Cc1c(I)cc(I)c(N)c1I)C(O)=O,CCC(Cc1c(I)cc(I)c(N)c1I)C(O)=O
C08219,[K+].[I-],[K+].[I-]
C08230,[H]O[Co-3]1234N5C6=C(C)C7=[N+]1C(=CC1=[N+]2C(=C(C)C2=[N+]3[C@@](C)([C@@]5([H])[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP([O-])(=O)O[C@H]3[C@@H](O)[C@H](O[C@@H]3CO)n3c[n+]4c4cc(C)c(C)cc34)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]1CCC(N)=O)C(C)(C)[C@@H]7CCC(N)=O,[OH2-].[Co++].C[C@@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)C2[N--]\C1=C(C)/C3=N\C(=C/C4=N\C(=C(C)/C5=N[C@]2(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O)O[P]([O-])(=O)O[C@H]6[C@@H](O)[C@H](O[C@@H]6CO)n7cnc8cc(C)c(C)cc78
C08233,OC(Cc1cccnc1)(P(O)(O)=O)P(O)(O)=O,OC(Cc1cccnc1)([P](O)(O)=O)[P](O)(O)=O
C08234,[H]C([H])(C=O)[C@]([H])(OC)[C@]([H])(O)[C@@]([H])(C)O,CO[C@H]1C[C@H](O)O[C@H](C)[C@H]1O
C08235,[H][C@](C)(O)[C@]([H])(O)[C@]([H])(OC)[C@@]([H])(O)C=O,CO[C@H]1[C@@H](O)[C@@H](C)O[C@@H](O)[C@@H]1O
C08236,OC[C@H]1O[C@@](O)(CO)[C@@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@](O)(CO)[C@@H](O)[C@@H](O)[C@@H]1O
C08237,[H]C([H])(C=O)[C@]([H])(OC)[C@@]([H])(O)[C@]([H])(C)O,CO[C@H]1C[C@@H](O)O[C@@H](C)[C@@H]1O
C08238,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](OC[C@H]4O[C@H](OC[C@H]5O[C@H](O[C@]6(CO)O[C@H](CO)[C@@H](O)[C@@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](OC[C@H]4O[C@H](OC[C@H]5O[C@H](O[C@]6(CO)O[C@H](CO)[C@@H](O)[C@@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C08239,OC[C@H]1O[C@@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C08240,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C08241,[Na+].C[C@@H]1O[C@H](O)[C@H](O[C@H]2OC(=C[C@H](O)[C@H]2O)C([O-])=O)[C@H](O)[C@H]1O,[Na+].C[C@@H]1O[C@H](O)[C@H](O[C@H]2OC(=C[C@H](O)[C@H]2O)C([O-])=O)[C@H](O)[C@H]1O
C08242,OC[C@H]1O[C@@](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO[C@H]4O[C@H](O)[C@H](O)[C@H](CO)[C@H]4O)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C08243,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@@]2(CO)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@@]2(CO)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]1O
C08244,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
C08245,[H]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,O[C@@H]1CO[C@@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
C08246,None,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O
C08247,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
C08248,None,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@@](CO)(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C08249,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)[n+]1cccnc1,None
C08250,OC1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,OC[C@H]1O[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
C08251,OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]2O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]1O
C08252,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](OC[C@H]4O[C@H](O[C@]5(CO)O[C@H](CO)[C@@H](O)[C@@H]5O)[C@H](O)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](OC[C@H]4O[C@H](O[C@]5(CO)O[C@H](CO)[C@@H](O)[C@@H]5O)[C@H](O)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C08253,None,None
C08254,OC[C@@H](O)[C@@H](O)[C@@](O)(CO)CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,OC[C@@H](O)[C@@H](O)[C@@](O)(CO)CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C08255,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,OC[C@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO
C08257,CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O
C08258,O[C@@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,O[C@@H]1C[C@@H](O)[C@H](O)C(O)[C@H]1O
C08259,O[C@@H]1C[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O,O[C@@H]1C[C@@H](O)[C@H](O)C(O)[C@@H]1O
C08260,OC[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO,OC[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO
C08261,OC(=O)CCCCCCCC(O)=O,OC(=O)CCCCCCCC(O)=O
C08262,CC(C)CC(O)=O,CC(C)CC(O)=O
C08263,C[N+](C)(C)CCC([O-])=O,C[N+](C)(C)CCC([O-])=O
C08264,N[C@@H](CNC(N)=O)C(O)=O,N[C@@H](CNC(N)=O)C(O)=O
C08265,[S@@](C[C@@H](C(O)=O)N)(CC=C)=O,N[C@@H](C[S](=O)CC=C)C(O)=O
C08266,N[C@@H](CCNC(=O)C(O)=O)C(O)=O,N[C@@H](CCNC(=O)C(O)=O)C(O)=O
C08267,[H][C@]1(CCN1)C(O)=O,OC(=O)[C@@H]1CCN1
C08268,OC(=O)[C@@H]1CC=CCN1,None
C08269,C[N+]1(C)C[C@H](O)C[C@H]1C([O-])=O,C[N+]1(C)C[C@H](O)C[C@H]1C([O-])=O
C08270,C(C[C@@H](C(O)=O)N)ON,NOCC[C@H](N)C(O)=O
C08271,N[C@@H](CCC(=O)NC1(O)CC1)C(O)=O,N[C@@H](CCC(=O)NC1(O)CC1)C(O)=O
C08272,C(Nc1ncnc2nc[nH]c12)c1ccco1,C(Nc1ncnc2nc[nH]c12)c3occc3
C08273,N[C@@H](CC1=CCC=CC1)C(O)=O,N[C@@H](CC1=CCC=CC1)C(O)=O
C08275,N[C@@H](CSCSC[C@H](N)C(O)=O)C(O)=O,N[C@@H](CSCSC[C@H](N)C(O)=O)C(O)=O
C08276,CSCCC(O)=O,CSCCC(O)=O
C08277,OC(=O)CCCCCCCCC(O)=O,OC(=O)CCCCCCCCC(O)=O
C08278,OC(=O)CCCCCCC(O)=O,OC(=O)CCCCCCC(O)=O
C08279,[H]\C(C)=C(\C)C(O)=O,C\C=C(/C)C(O)=O
C08280,None,N[C@@H](CCC(=O)N[C@@H](C[C@@H]1CC1=C)C(O)=O)C(O)=O
C08281,CCCCCCCCCCCCCCCCCCCCCC(O)=O,CCCCCCCCCCCCCCCCCCCCCC(O)=O
C08282,OC(=O)CCCCCCCCCCCC[C@H]1CCC=C1,OC(=O)CCCCCCCCCCCC[C@H]1CCC=C1
C08283,C[N+]1(C)CCCCC1C([O-])=O,C[N+]1(C)CCCC[C@H]1C([O-])=O
C08284,N[C@@H](CC(O)CNC(N)=N)C(O)=O,N[C@@H](CC(O)CN=C(N)N)C(O)=O
C08285,OCCCCCCC(O)CCCCCCCCC(O)=O,OCCCCCCC(O)CCCCCCCCC(O)=O
C08286,N[C@@H](C[C@H](O)CCNC(N)=N)C(O)=O,N[C@@H](C[C@H](O)CCN=C(N)N)C(O)=O
C08287,[C@]1(C(=C)C1)(C[C@@H](C(O)=O)N)[H],N[C@@H](C[C@@H]1CC1=C)C(O)=O
C08288,N[C@@H](CCCCC(N)=N)C(O)=O,N[C@@H](CCCCC(N)=N)C(O)=O
C08289,N[C@@H](Cn1c(=O)cc[nH]c1=O)C(O)=O,N[C@@H](CN1C(=O)NC=CC1=O)C(O)=O
C08290,N[C@@H](Cc1ccnc(N)n1)C(O)=O,N[C@@H](Cc1ccnc(N)n1)C(O)=O
C08291,CNC[C@H](N)C(O)=O,CNC[C@H](N)C(O)=O
C08292,None,N[C@@H]([C@H]1CC1=C)C(O)=O
C08294,None,OCC[C@H](NC(=O)C(O)=O)C(O)=O
C08295,None,C\C=C\[S](=O)C[C@H](N)C(O)=O
C08296,N[C@@H](Cn1oc(=O)[nH]c1=O)C(O)=O,N[C@@H](CN1OC(=O)NC1=O)C(O)=O
C08298,[H][C@]1(CC(=O)NO1)[C@H](N)C(O)=O,N[C@@H]([C@@H]1CC(=O)NO1)C(O)=O
C08299,CN(C)CCc1c[nH]c2ccc(O)cc12,CN(C)CCc1c[nH]c2ccc(O)cc12
C08300,C[C@H](N)[C@@H](O)c1ccccc1,C[C@H](N)[C@@H](O)c1ccccc1
C08301,C[C@H](N)C(=O)c1ccccc1,C[C@H](N)C(=O)c1ccccc1
C08302,CN(C)CCc1c[nH]c2ccccc12,CN(C)CCc1c[nH]c2ccccc12
C08303,CC(C)=CCNC(N)=N,CC(C)=CCN=C(N)N
C08304,C1(=CNC2=C1C=CC=C2)CN(C)C,CN(C)Cc1c[nH]c2ccccc12
C08305,[H]C(C)=NN(C)C([H])=O,C\C=N\N(C)C=O
C08306,CCCCCCN,CCCCCCN
C08307,NC(=N)NCCCCNC(=O)\C=C\c1ccc2O[C@@H]([C@@H](C(=O)NCCCCNC(N)=N)c2c1)c1ccc(O)cc1,NC(N)=NCCCCNC(=O)/C=C/c1ccc2O[C@H]([C@H](C(=O)NCCCCN=C(N)N)c2c1)c3ccc(O)cc3
C08308,COc1cc(\C=C\C(=O)NCCCCNC(N)=N)cc2[C@@H]([C@H](Oc12)c1ccc(O)cc1)C(=O)NCCCCNC(N)=N,COc1cc(\C=C\C(=O)NCCCCN=C(N)N)cc2[C@H]([C@@H](Oc12)c3ccc(O)cc3)C(=O)NCCCCN=C(N)N
