C04435 , CC(C)C(=C)C\C=C(\C)C=O
C16890 , [H][C@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCCC(CO)CO
C17467 , OCc1ccc(O)cc1
C00650 , OC(C#N)c1ccc(O)cc1
C17466 , OC[C@H]1O[C@H](Oc2ccc(COC(=O)CC(O)(CC(=O)OCc3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3)C(O)=O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
C04013 , NAN
C11376 , CCc1c2Cn3c(cc4c(COC(=O)[C@]4(O)CC)c3=O)-c2nc2ccc(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)cc12
C17469 , C[C@H](CCC1=C(C)[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23C)O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)O1)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C16895 , CN[C@@H]1CC[C@@]2(C)[C@@H](CC=C3[C@@H]4CC[C@H]([C@H](C)\C=C\C5=C(C)CN(C)CC5)[C@@]4(C)CC[C@H]23)C1
C17468 , CO[C@]1(CC[C@@H](C)CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@@H]1C)O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O
C06525 , C=Cc1cncc2C(=O)OCCc12
C09579 , OC[C@H]1O[C@@H](O[C@H]2C[C@@H]3[C@@H]([C@H]4OC(=O)C(=C)[C@@H]4CCC3=C)C2=C)[C@H](O)[C@@H](O)[C@@H]1O
C11374 , NAN
C03665 , CC(C)(N)C(O)=O
C17656 , CC(C)[C@@H]1C[C@@H]2[C@@]3(O)[C@@H]4OC(O)(C[C@]2(C)[C@@]2(O)C[C@H](O)[C@@H](C)[C@@H]42)[C@@]13C
C13482 , CN(C)CCOP(O)(O)=O
C13480 , NAN
C13487 , COCc1c(F)c(F)c(COC(=O)C2C(\C=C\C)C2(C)C)c(F)c1F
C20346 , NAN
C19621 , C(C(C(CCCCCCCCO)O)O)CCCCCCC(=O)O
C19620 , C1(CCCCCCCC(=O)O)C(CCCCCCCCO)O1
C19623 , OCCCCCCCCCCCCCCCCCCCCCC(O)=O
C19622 , NAN
C19625 , OC(=O)CCCCCCCCCCCCCCCCCCCCC(O)=O
C19624 , OC(=O)CCCCCCCCCCCCCCCCCCCCC=O
C19995 , NAN
C19994 , NAN
C19999 , [C@@]12(C[C@@H]([C@@H]([C@@]3(N1C(N[C@](C2)([C@H](C4=CC(NC(N4)=O)=O)O)[H])=NC3)[H])C)OS(O)(=O)=O)[H]
C19998 , NAN
C16537 , CCCCCCCCCCCCCCC(O)=O
C00192 , NO
C03723 , NAN
C02131 , CC(=O)NCCCCNC(N)=N
C02130 , CC(=O)O[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
C02133 , OP(O)(=O)OC([*])=O
C02132 , CC(=O)CC(=O)C([O-])=O
C02135 , CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O
C02134 , COc1ccc2CC(=O)c3cc4OCOc4cc3CCN(C)Cc2c1OC
C02137 , OC(=O)C(=O)c1ccccc1
C02139 , CCC1=C(C)C2=Cc3c(C=C)c(C)c4C=C5[C@@H](C)[C@H](CCC(O)=O)C6=[N+]5[Mg--]5(n34)n3c(=CC1=[N+]25)c(C)c1C(=O)[C@H](C(=O)OC)C6=c31
C02138 , C=1(C=CC([N+](=O)[O-])=CC1)OC([C@@H](NC(OC(C)(C)C)=O)CC(N)=O)=O
C17302 , CCOC(=O)C(Cl)Cc1ccc(OCC(C)(C)c2ccccc2)cc1
C05841 , OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n+]1cccc(c1)C(O)=O
C12609 , [Na+].CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
C13668 , [O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1C#N
C13667 , NS(=O)(=O)c1cccc2c1c(cc1[nH]c(=O)c(=O)[nH]c21)[N+]([O-])=O
C13666 , CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)c1c[nH]c2ccccc12
C13665 , Cc1[nH]c2ccc(O)cc2c1CCN
C13664 , C[N+](C)(C)CCc1c[nH]c2ccc(O)cc12
C01368 , OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1ccc(=O)[nH]c1=O
C06362 , NAN
C13660 , C1CNCCN1.OC(CC(CC(=O)O)(O)C(=O)O)=O.C2CNCCN2.C3CNCCN3.OC(CC(CC(=O)O)(O)C(=O)O)=O
C01800 , O=c1nc2[nH]c3ccccc3cc2c(=O)[nH]1
C01801 , OC[C@@H](O)[C@@H](O)CC=O
C01802 , [H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC=C(C)C
C19198 , [Na+].CCN(Cc1ccc(cc1)S(O)(=O)=O)c1ccc(cc1)C(c1ccc(cc1)N(C)C)=C1C=CC(C=C1)=[N+](CC)Cc1cccc(c1)S([O-])(=O)=O
C01804 , CC(C)=CCNc1ncn(CC[C@H](N)C(O)=O)c2ncnc12
C01806 , Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=S)[C@@H](O)[C@H]1O
C19193 , CN(C)c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C
C19192 , NAN
C19191 , C1=CC=CC(=C1N)OC
C19190 , CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H]1O[C@H](O[C@H]2O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C19197 , C12=C3C(=CC=C1C=CC4=C2C=CC=C4)C=CC=C3
C19196 , c1ccc2c-3c(ccc2c1)-c1cccc2cccc-3c12
C19195 , C1=Cc2c3c1cccc3cc1c2ccc2ccccc12
C19194 , N[C@@H](COC(=O)C=[N+]=[N-])C(O)=O
C17652 , CC(CO)[C@@H]1C[C@@H]2[C@@]3(O)[C@@H]4OC(O)(C[C@]2(C)[C@H]2CC[C@](C)(O)[C@@H]42)[C@@]13C
C04432 , NAN
C15624 , NAN
C15767 , N[C@@H](CCC(=O)NCCCC(O)=O)C(O)=O
C16980 , [H][C@@]1(C[C@]2([H])N(CC[C@@]22C(=O)Nc3ccccc23)C[C@@H]1CC)C(=C/OC)\C(=O)OC
C05843 , Cn1ccc(=O)c(c1)C(N)=O
C00655 , O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)n1cnc2c1[nH]c(=O)[nH]c2=O
C11889 , CC(C)=C1CC[C@H]2C(CC[C@@H]3[C@]2(C)CCC[C@@]3(C)C(O)=O)=C1
C04019 , CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[*]
C05844 , S(CCNC(CC[C@@H](C(O)=O)N)=O)(O)(=O)=O
C17568 , COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O
C12049 , CN[C@@H]1[C@@H](O)[C@@H](O)[C@@H](C)O[C@@H]1O[C@H]1[C@H](OC(=O)c2c(O)ccc3c(C)cc(OC)cc23)C=C2C#C[C@@]3(O[C@@H]3C#C/C=C1\2)[C@H]1COC(=O)O1
C18578 , [O-][N+](=O)c1cc(c(Cl)c(c1Nc1ncc(cc1Cl)C(F)(F)F)[N+]([O-])=O)C(F)(F)F
C18579 , C\C(=N\Nc1nc(C)cc(C)n1)c1ccccc1C
C12044 , CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2c(O)cc(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(O)c2c(O)c3C
C12045 , [H][C@@]12C[C@@](O)(NC(=O)O1)[C@H](OC)\C=C\C=C(C)\Cc1cc(OC)c(Cl)c(c1)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]1(C)O[C@@]1([H])[C@@H]2C
C12046 , NAN
C12047 , CO[C@H]1CC[C@@H](O[C@H]2CC(O[C@]3(O[C@H](C[C@@H]3C)C3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)[C@@H]2C)[C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@H](O3)[C@@H](C)\C=C(/C)C(=O)[C@H](C)C[C@H](C)C(O)=O)O2)O[C@H]1C
C12040 , Cc1oc2nc1-c1nc(c(C)o1)-c1nc(co1)-c1nc(co1)-c1nc(co1)-c1nc(co1)-c1nc(co1)C1=NC2CS1
C12041 , NAN
C12042 , CCCCCCCCCCCCCC(O)CC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@H](CCCN)C(=O)N[C@@H]1Cc2ccc(OC(=O)[C@@H](NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H](NC1=O)[C@H](C)O)[C@H](C)CC)cc2
C12043 , [H][C@@]1(CCCCCCCCCC(C)C)CC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O1
C05845 , NAN
C08856 , [H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@]([H])(CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@@H]1O[C@@H](C)[C@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](OC)[C@@H]1O
C03268 , NAN
C06349 , COc1cc2CCN[C@H](Cc3ccc(O)cc3)c2cc1O
C06346 , Oc1ccc(CC2NCCc3cc(O)c(O)cc23)cc1
C06347 , Oc1ccc(C[C@H]2NCCc3cc(O)c(O)cc23)cc1
C06344 , NAN
C06345 , Cc1cc2ccccc2nc1O
C06342 , Oc1ccc2cccc(O)c2n1
