KEGGid,SMILES_by_mol
C00089,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
C00090,Oc1ccccc1O
C00091,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
C00092,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O
C00093,O=P(O)(O)OCC(O)CO
C00094,O=S(O)O
C00095,OCC1OC(O)(CO)C(O)C1O
C00096,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1
C00097,NC(CS)C(=O)O
C00098,*C(N)C(=O)NC(*)C(=O)O
C00099,NCCC(=O)O
C00100,CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
C00101,Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2
C00102,O=C1C(Cl)=CC(=Nc2ccc(O)cc2)C=C1Cl
C00103,O=P(O)(O)OC1OC(CO)C(O)C(O)C1O
C00104,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
C00105,O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1
C00106,O=c1cc[nH]c(=O)[nH]1
C00107,*C(N)C(=O)NC(*)C(=O)O
C00108,Nc1ccccc1C(=O)O
C00109,CCC(=O)C(=O)O
C00110,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCOP(=O)(O)O
C00111,O=C(CO)COP(=O)(O)O
C00112,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1
C00113,O=C(O)c1cc(C(=O)O)c2c(n1)C(=O)C(=O)c1cc(C(=O)O)[nH]c1-2
C00114,C[N+](C)(C)CCO
C00116,OCC(O)CO
