KEGGid,SMILES_by_mol
C08517,COc1c2c(cc3c1OCO3)C13C=CC(OC)CC1N(C2)CC3O
C08518,COc1ccc(CCN(C)Cc2ccc(OC)c(OC)c2)cc1
C08519,OC1C=C2C3CN(Cc4cc5c(cc43)OCO5)C2CC1O
C08520,COc1c2c(cc3c1C(=O)OC1C(O)C=C4CCN(C)C4C31)OCO2
C08521,OC1CC=C2CCN3Cc4cc5c(cc4C1C23)OCO5
C08522,OC1CN2Cc3cc4c(cc3C3C5NCCCC5C=C1C32)OCO4
C08523,COc1cc2c(cc1O)C1C(O)C(CO)C=C3CCN(C2)C31
C08524,COc1c2c(cc3c1OCO3)C13C(O)CN(C2)C1CC(OC)C1OC13
C08525,COC1C=CC23c4cc5c(cc4CN(CC2O)C3C1)OCO5
C08526,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2
C08527,COC1C=CC23c4cc5c(cc4CN(CC2O)C3C1)OCO5
C08528,CN1CCC2=CC(O)C3OC(=O)c4cc5c(cc4C3C21)OCO5
C08529,O=C1NC2C(=CC(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c2cc3c(c(O)c21)OCO3
C08530,COc1cc2c(cc1OC)C1C(CC=C3CCN(C)C31)OC2O
C08531,O=C1NC2C(=CC(O)C(O)C2O)c2cc3c(cc21)OCO3
C08532,OC1C=C2CCN3Cc4cc5c(cc4C(C1O)C23)OCO5
C08533,O=C1NC2C(=CC(O)C(O)C2O)c2cc3c(c(O)c21)OCO3
C08534,COc1ccc2c3c1OC1CC(=O)C=CC31CCN(C)C2
C08535,O=C1NC2C(O)C(O)C(O)C(O)C2c2cc3c(c(O)c21)OCO3
C08536,COC1C=CC23c4cc5c(cc4C(O)OC2CN(C)C3C1)OCO5
C08537,O=C(O)C1=CC(=CC=[N+]2c3cc(O)c(OC4OC(CO)C(O)C(O)C4OC4OC(C(=O)O)C(O)C(O)C4O)cc3CC2C(=O)[O-])CC(C(=O)O)N1
C08538,O=CC=C1C=C(C(=O)O)NC(C(=O)O)C1
C08539,O=C(O)C1=CC(=CC=[N+]2c3cc(O)c(O)cc3CC2C(=O)[O-])CC(C(=O)O)N1
C08540,O=C(O)C1=CC(=CC=[N+]2c3cc(O)c(OC4OC(CO)C(O)C(O)C4O)cc3CC2C(=O)[O-])CC(C(=O)O)N1
C08541,O=C(O)C1=CC(=CC=[N+]2c3cc(O)c(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)cc3CC2C(=O)[O-])CC(C(=O)O)N1
C08542,COc1cc(C=CC(=O)OC2C(OC3C(Oc4cc5c(cc4O)[N+](=CC=C4C=C(C(=O)O)NC(C(=O)O)C4)C(C(=O)[O-])C5)OC(CO)C(O)C3O)OC(C(=O)O)C(O)C2O)ccc1O
C08543,O=C(O)C1=CC(=CC=NC(Cc2ccc(O)c(O)c2)C(=O)O)CC(C(=O)O)N1
C08544,O=C(O)C1=CC(=CC=[N+]2c3cc(OC4OC(CO)C(O)C(O)C4O)c(O)cc3CC2C(=O)[O-])CC(C(=O)O)N1
C08545,CCCCCCC(O)CCCC(O)C1CCC(C2CCC(C(O)CCCCCCCCCCCCC3=CC(C)OC3=O)O2)O1
C08546,CC=C(C)COC(=O)C(C)=CC
C08547,COc1cc(C=CC(=O)OCC2OC(Oc3cc4c(cc3O)CC(C(=O)[O-])[N+]4=CC=C3C=C(C(=O)O)NC(C(=O)O)C3)C(O)C(O)C2O)ccc1O
C08548,O=C(O)C1=CC(=CC=NC(CCCO)C(=O)O)CC(C(=O)O)N1
C08549,O=C(O)C1=CC(=CC=[N+]2CCCC2C(=O)[O-])CC(C(=O)O)N1
C08550,CC(O)(CC(=O)O)CC(=O)OCC1OC(Oc2cc3c(cc2O)[N+](=CC=C2C=C(C(=O)O)NC(C(=O)O)C2)C(C(=O)[O-])C3)C(OC2OC(C(=O)O)C(O)C(O)C2O)C(O)C1O
C08551,O=C(O)C1=CC(=CC=[N+]2c3cc(O)c(OC4OC(CO)C(O)C(O)C4O)cc3CC2C(=O)[O-])CC(C(=O)O)N1
C08552,COc1cc(C=CC(=O)OCC2OC(Oc3cc4c(cc3O)[N+](=CC=C3C=C(C(=O)O)NC(C(=O)O)C3)C(C(=O)[O-])C4)C(O)C(O)C2O)ccc1O
C08553,CCCCCC(O)CC(=O)CCCCCC(O)CC(=O)CCCCCC(O)CC(=O)CCCCCC(O)CC(C)=O
C08554,CS(=O)CCC(N=CC=C1C=C(C(=O)O)NC(C(=O)O)C1)C(=O)O
C08555,O=C(O)CC(N=CC=C1C=C(C(=O)O)NC(C(=O)O)C1)C(=O)O
C08556,O=C(O)C1=CC(=CC=NCCc2ccc(O)cc2)CC(C(=O)O)N1
C08557,O=C(O)C1=CC(=CC=NCCc2ccc(O)c(O)c2)CC(C(=O)O)N1
C08558,O=C(O)CC1CCC(=O)C1CC=CCCOC1OC(CO)C(O)C(O)C1O
C08559,O=C(O)C1=CC(=CC=NC(C(=O)O)c2cc(O)no2)CC(C(=O)O)N1
C08560,O=C(O)C1=CC(=CC=NC(Cc2cc(C(=O)O)oc(=O)c2)C(=O)O)CC(C(=O)O)N1
C08561,C=C(CCO)C(=O)OC1OC(CO)C(O)C(O)C1O
C08562,NC(CC1=C[N+](=CC=C2C=C(C(=O)O)NC(C(=O)O)C2)C=N1)C(=O)[O-]
C08563,O=C(O)C1=CC(=CC=[N+]2c3c(cc(C(=O)O)oc3=O)CC2C(=O)[O-])CC(C(=O)O)N1
C08564,O=C(O)C1=CC(=CC=[N+]2CC(O)CC2C(=O)[O-])CC(C(=O)O)N1
C08565,O=C(O)C1=CC(=CC=NC(Cc2ccc(O)cc2)C(=O)O)CC(C(=O)O)N1
C08566,O=C(O)CN=CC=C1C=C(C(=O)O)NC(C(=O)O)C1
C08567,O=C(O)C1=CC(=CC=[N+]2c3cc(O)c(OC4OC(COS(=O)(=O)[O-])C(O)C(O)C4O)cc3CC2C(=O)O)CC(C(=O)O)N1
C08568,NC(=O)CCC(N=CC=C1C=C(C(=O)O)NC(C(=O)O)C1)C(=O)O
C08569,O=C(O)CCC(N=CC=C1C=C(C(=O)O)NC(C(=O)O)C1)C(=O)O
C08570,C=C(C(=O)OC1OC(CO)C(O)C(O)C1O)C(O)CO
C08571,CCCCCCCC1CCC(=O)O1
C08572,CCCCCCCCCCC(OC(C)=O)C1CCC(C2CCC(C(O)CCCCCCCCCCCCC3=CC(C)OC3=O)O2)O1
C08573,CC(C)=CCc1cc(C=CC(=O)c2ccc(O)cc2O)cc(CC=C(C)C)c1O
C08574,Oc1ccc(-c2ccc3c(O)cc(O)cc3[o+]2)cc1
C08575,Oc1ccc(-c2[o+]c3cc(O)c(O)c(O)c3cc2O)cc1
C08576,O=C1C(=Cc2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
C08577,O=C1C(=Cc2cc(O)c(O)c(O)c2)Oc2cc(O)cc(O)c21
C08578,O=C(C=Cc1ccc(O)c(O)c1)c1ccc(O)cc1O
C08579,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC12OC1(C)CC(O)CC2(C)C
C08580,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C
C08581,CC(C=CC=C(C)C=CC1(O)C(C)(C)CCCC1(C)O)=CC=CC=C(C)C=CC(=O)O
C08582,COC(=O)C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC(=O)O
C08583,CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C
C08584,CC(C=CC=C(C)C=CC(=O)C1(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C
C08585,CC(C=CC=C(C)C=CC(=O)C1(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC(=O)C1(C)CC(O)CC1(C)C
C08586,CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CCCC1(C)C
C08587,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC12OC1(C)CCCC2(C)C
C08588,CC(C=CC=C(C)C(=O)O)=CC=CC=C(C)C=CC=C(C)C(=O)O
C08589,CC(C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)=CC=CC=C(C)C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
C08590,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CCCC1(C)C
C08591,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C
C08592,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C
C08593,CC(C=CC=CC(C)=CC=CC(C)=CC=C1C(C)=CC(O)CC1(C)C)=CC=CC(C)=CC=C1C(C)=CC(O)CC1(C)C
C08594,CC(C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C1C=C2C(C)(C)CC(O)CC2(C)O1
C08595,COc1cc(-c2[o+]c3cc(O)cc(OC)c3cc2O)cc(OC)c1O
C08596,CC(=O)OC1CC(C)(C)C(=C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C(=O)CC23OC2(C)CC(O)CC3(C)C)C(C)(O)C1
C08597,CCCCCCCCCCCCCCCC(=O)OC1C=C(C)C(C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC2=C(C)CC(OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1
C08598,O=C(C=Cc1ccc(O)cc1)C1=C(OC2OC(CO)C(O)C(O)C2O)C(=O)C(O)=CC1=O
C08599,CC(C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C
C08600,COc1cc(C2Oc3ccc(C4CC(=O)c5c(O)cc(O)cc5O4)cc3OC2CO)ccc1O
C08601,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C
C08602,CC(C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC12OC1(C)CC(O)CC2(C)C
C08603,CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)CO
C08604,OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(O)C(O)C1O
C08605,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C1C=C2C(C)(C)CCCC2(C)O1
C08606,CC(C=C=C1C(C)(C)CC(O)CC1(C)O)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC12OC1(C)CC(O)CC2(C)C
C08607,CC(C=CC=C(C)C=CC=C(C)C(=O)O)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
C08608,CC(C=CC=C(C)C=CC(=O)O)=CC=CC=C(C)C=CC=C(C)C=CC(=O)O
C08609,CCCCCCCCCCCCCCCC(=O)OC1CC(C)=C(C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC2=C(C)CC(OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1
C08610,CC(C=CC=CC(C)=CC=CC(C)=CC=C1C(C)=CC(=O)CC1(C)C)=CC=CC(C)=CC=C1C(C)=CC(=O)CC1(C)C
C08611,CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C
C08612,OCC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)C(OC3OCC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O
C08613,CC(C)=CC=CC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
C08614,CC(C=CC=C(C)C=CC12OC1(C)CC(O)CC2(C)C)=CC=CC=C(C)C=CC=C(C)C=CC12OC1(C)CC(O)CC2(C)C
C08615,CC1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C
C08616,CC1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1
C08617,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2C1C
C08618,C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12
C08619,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12
C08620,CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O
C08621,CC(C)=CCCC(C)(O)C1CCC2(C)C1CCC1C3(C)CCC(O)C(C)(C)C3CCC12C
C08622,CC(C)=CCCC(C)(O)C1CCC2(C)C1CCC1C3(C)CCC(=O)C(C)(C)C3CCC12C
C08623,CC(C)=CCCC(C(=O)O)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3
C08624,CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3
C08625,CC(C)C1CCC2C1(C)CCC1(C)C3CCC4C(C)(C)CCCC4(C)C3=CCC21C
C08626,CC1C(=O)CCC2C1(C)CCC1C2(C)CCC2(C)C3CC(C)(C)CCC3(C)CCC12C
C08627,CC(=O)OCC(C)C1CCC2(C)C1CCC1(C)C2CCC2C3(C)CCCC(C)(C)C3CCC21C
C08628,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12
C08629,OCC1OC(Oc2cc(-c3[o+]c4cc(O)cc(OC5OC(CO)C(O)C(O)C5O)c4cc3OC3OC(CO)C(O)C(O)C3O)ccc2O)C(O)C(O)C1O
C08630,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(OC(C)=O)C(C)(C)C5CCC43C)C12
C08631,CC(=O)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12
C08632,CC(=O)OC1CC2C3(C)CCC(OC(=O)CC(=O)O)C(C)(C)C3CCC2(C)C2(C)CCC(C3(C)CCC(C(C)(C)O)O3)C12
C08633,COC(=O)C1(C)CCC2(C)CCC3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)C4(C)CCC3(C)C2C1
C08634,CC(C)(O)C1OCC(C2CCC3(C)C4=CCC5C(C)(C)C(O)CCC5(C)C4CCC23C)CC1O
C08635,CC(=O)OC1C(OC(C)=O)C2(C)C(C(OC(C)=O)C3C2C(C)C=C2OC(=O)C(C)(O)C23C)C2C(O)C(=O)C3CC4OC4C(OC(C)=O)C3(C)C12
C08636,C=C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C
C08637,CC1(C)CCC2(C)CC=C3C(C)(CCC4C3(C)CCC3C(C)(C)C(O)CCC43C)C2C1
C08638,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)C(=O)CC3(C)CCC12C
C08639,OCC1OC(Oc2cc3c(OC4OC(CO)C(O)C(O)C4O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(O)C(O)C1O
C08640,OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(OC3OC(CO)C(O)C(O)C3O)c2)C(O)C(O)C1O
C08641,O=C(C=Cc1ccc(O)c(O)c1)OCC1OC(Oc2cc(-c3[o+]c4cc(O)cc(OC5OC(COC(=O)C=Cc6ccc(O)c(O)c6)C(O)C(O)C5O)c4cc3OC3OC(CO)C(O)C(O)C3O)cc(O)c2O)C(O)C(O)C1O
C08642,COc1cc(-c2[o+]c3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3cc2OC2OC(COC(=O)C=Cc3ccc(OC4OC(COC(=O)C=Cc5ccc(O)c(OC6OC(CO)C(O)C(O)C6O)c5)C(O)C(O)C4O)c(O)c3)C(O)C(O)C2OC2OC(COC(=O)C=Cc3ccc(O)c(OC4OC(CO)C(O)C(O)C4O)c3)C(O)C(O)C2O)ccc1O
C08643,COc1cc(O)c2cc(O)c(-c3cc(OC)c(O)c(OC)c3)[o+]c2c1
C08644,O=C1C(=Cc2ccc(O)cc2)Oc2cc(O)ccc21
C08646,Oc1ccc(-c2[o+]c3cc(O)c(O)c(O)c3cc2O)cc1O
C08647,OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)C(O)C(O)C1O
C08648,CC(C)=CCc1c(O)ccc(C(=O)C=Cc2ccc(O)cc2)c1O
C08649,O=C(C=Cc1ccc(O)c(OC2OC(CO)C(O)C(O)C2O)c1)c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1O
C08650,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O
C08651,COc1c(O)ccc2c1OC(=Cc1ccc(O)c(O)c1)C2=O
C08652,Oc1cc(O)c2ccc(-c3ccc(O)c(O)c3)[o+]c2c1
C08653,O=C(O)CC(=O)OCC1OC(Oc2cc(O)cc3[o+]c(-c4cc(O)c(O)c(O)c4)c(OC4OC(COC(=O)C=Cc5ccc(O)cc5)C(O)C(O)C4O)cc23)C(O)C(O)C1O
C08654,CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC(C)=O)C(O)(C(OC)C23)C14
C08655,CCN1CC2(COC)C(O)CC(OC)C34C1C(C(OC)C23)C1(OC(C)=O)C(O)C(OC)C2(O)CC4(O)C1C2OC(=O)c1ccccc1
C08656,C=C1C2CCC3(C4CC5C6(C)CCCC5(C(O4)N(CCO)C6)C3C2)C1O
C08657,COC1CC2(O)C3C(OC)C1CC3C13C(OC)CCC4(COC(=O)c5ccccc5N5C(=O)CC(C)C5=O)C=NC1C2(O)C(OC)C43
C08658,C=C1CC23CC(O)C4(O)C5(C)CC(O)CC46C(C2C1C(OC(=O)C(C)=CC)C(OC(=O)C(C)=CC)C36)N(C)C5
C08659,CCN1CC2(COC(=O)c3ccccc3N)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
C08660,C=C1C2CCC3(CCC4C5(C)CCCC4(C4OCCN4C5)C3C2)C1O
C08661,CCN1CC2(COC(=O)c3ccccc3NC(=O)CCC(N)=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
C08662,CCN1CC2(COC(=O)c3ccccc3N3C(=O)CC(C)C3=O)CCC(OC)C34C5CC6C(=O)C5C(O)(CC6OC)C(O)(C(OC)C23)C14
C08663,COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1(O)CC2(O)C(OC)C(O)C4(OC(C)=O)C1C2OC(=O)c1ccccc1
C08664,CCN1CC2(COC)CCC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccc(OC)c(OC)c5)C(C(OC)C23)C14
C08665,CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6O)C(O)(C(OC)C23)C14
C08666,CCN1CC2(CO)CCC(OC)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O
C08667,CCN1CC2(C)CCC(O)C34C5CC6CCC(O)(C5C6O)C(O)(CC23)C14
C08668,CCN1CC2(COC(=O)c3ccccc3NC(=O)CCC(=O)OC)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
C08669,CC1C(=CC(=O)OCCN(C)C)CCC2C1C(O)CC1C(C)(C)C(O)CCC21C
C08670,CC1C(=CC(=O)OCCN(C)C)CCC2C1C(=O)CC1C(C)(C)C(O)CCC21C
C08671,CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6OC(C)=O
C08672,CC1C(=O)C23CCC4C5(C)CCCC4(C4OCCN4C5)C2CCC1C3
C08673,CCN1CC2(COC(=O)c3ccccc3N3C(=O)CC(C)C3=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6O)C(O)(C(OC)C23)C14
C08674,CCN1CC2(COC(=O)c3ccccc3NC(=O)C(C)CC(=O)OC)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
C08675,CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC7(OCOC7(C(O)C23)C14)C5C6OC
C08676,CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C5C6O)C(O)(C(OC)C23)C14
C08677,COCC12CCC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C13)C4N(C)C2
C08678,CCN1CC2(COC)CCC(O)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
C08679,CCN1CC2(C)CCC(OC)C34C2C(OC(C)=O)C2(OCOC25CC(OC)C2CC3(O)C5C2OC)C14
C08680,C=C1C2CCC3(C1O)C1CC4C5(C)CCCC4(C1N(CC)C5)C3C2O
C08681,CCN1CC2(COC(=O)c3ccccc3N3C(=O)CC(C)C3=O)CCC(OC)C34C5CC6C(OC)CC7(OCOC7(C(OC)C23)C14)C5C6OC
C08682,COC(=O)C1(C)CCCC2(C)C3CCC(=CC(=O)OCCN(C)C)C(C)C3C(=O)C(O)C12
C08683,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C=C(C5C6OC(=O)c5ccc(OC)c(OC)c5)C(C(OC)C23)C14
C08684,CCN1CC2(COC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C2CC(O)(C13)C1(O)CC(OC)C2CC4(O)C1(O)C2OC
C08685,C=C1C2CCC3C(CCC4C5(C)CCCC43CN3CCOC35)(C2)C1O
C08686,CCN1CC2(C)CCC(OC)C34C5CC6CCC(O)(C5C(=O)O6)C(C(O)C23)C14
C08687,C=C1CC23CC4C5C6(C)CC(O)CC57C(C2C(O)C1C(O)C37)N4C6
C08688,COCC12CCC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C13)C4N(C)C2
C08689,CN(C)C1COC2C3=CC4OC(=O)C5(C)C(O)CCC(C)(C3CCC21C)C45
C08690,CN(C)C1COC2C1(C)CCC1C34CCC(O)(OC3)C3(C)C(=O)OC(C5OC521)C43
C08691,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14
C08692,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccc(OC)cc5)C(C(OC)C23)C14
C08693,CCN1CC2(C)CCC(O)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O
C08694,CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)C34C1C(CC23)C1(O)CC(OC)C2CC4C1(O)C2OC
C08695,C=C1C2CCC3C45C=NCC(C)(CCC4)C5CCC3(C2)C1OC(C)=O
C08696,CCN1CC2(COC(=O)c3ccccc3N3C(=O)CCC3=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
C08697,CCN1CC2(CO)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
C08698,COCC12CN(C)C3C4C(OC)C1C3(C(OC)CC2O)C1CC2(O)C(OC)C(O)C4(OC(C)=O)C1C2OC(=O)c1ccccc1
C08699,CCN1CC2(COC(=O)c3ccccc3N3C(=O)CC(C)C3=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
C08700,C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2O
C08701,CNCCOC(=O)C=C1CCC2C(C(O)CC3C(C)(C=O)C(O)CCC23C)C1C
C08702,CCN1CC2(COC(=O)c3ccccc3N3C(=O)CC(C)C3=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC(C)=O)C(O)(C(OC)C23)C14
C08703,C=C1C2CCC3C(CCC4C5(C)CCCC43C3OCCN3C5)(C2)C1OC(C)=O
C08704,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccc(OC)c(OC)c5)C(C(OC)C23)C14
C08705,CC1CCC2(O)C3(C)CC4(O)OC2(C1O)C1(O)C3(O)C(OC(=O)c2ccc[nH]2)C(O)(C(C)C)C41C
C08706,CCN1CC2(COC(=O)c3ccccc3NC(=O)CCC(=O)OC)CCC(OC)C34C5CC6C(OC)CC(OC)(C5C6OC)C(O)(C(OC)C23)C14
C08707,C=C1C2CC3(C1O)C1CC4C5(C)CCC(O)C4(C1N(CC)C5)C3CC2=O
C08708,C=C1CC23CC4(O)C5C6(C)CCCC57C(C2CC1C(=O)C37)N4C6
C08709,C=C1C2CCC3(C4CC5C6(C)CCCC5(C(O4)N4CCOC46)C3C2)C1OC(C)=O
C08710,CC1=CC23CC(=O)C4C5(C)CCCC46C(C2CC1CC36O)N1CCOC15
C08711,C=C1CC23CC(=O)C4C5(C)CCCC46C(C2CC1C(=O)C36)N1CCOC15
C08712,CN1CC2CC3=C(CCC45CC6C(C=C34)C63CCC4(CC67CCC8C9(C)CCCC8%10C(C6CC4CC7%10)N(C)C9)OC53)C(C)(C2)C1
C08713,CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC(O)(C(CC23)C14)C5C6O
C08714,C=C1CC23CC(=O)C4C5(C)CCCC46C(C2CC1C(=O)C36)N(CCO)C5=O
C08715,CCN1CC2(COC(C)=O)CCC(OC)C34C5CC6C(OC)CC(O)(C5C6OC)C(O)(C(OC)C23)C14
C08716,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O
C08717,COc1cc(C2Oc3c(O)cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)cc3C2CO)ccc1O
C08718,COc1cc(-c2[o+]c3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3cc2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O
C08719,CC(C)=CCc1cc(C2CC(=O)c3ccc(O)c(CC=C(C)C)c3O2)cc(CC=C(C)C)c1O
C08720,O=C1C(=Cc2ccc(O)c(O)c2)Oc2c1ccc(O)c2O
C08721,*OC1(C(=O)O)CC(O)C(NC(*)=O)C(C(O)C(*)COC(C)=O)O1
C08722,O=C1C(=Cc2ccccc2)Oc2cc(O)c3c(c21)OCO3
C08723,O=C(O)CC(=O)OCC1OC(Oc2cc(O)cc3[o+]c(-c4ccc(O)cc4)c(OC4OC(COC(=O)C=Cc5ccc(O)cc5)C(O)C(O)C4O)cc23)C(O)C(O)C1OC(=O)CC(=O)O
