KEGGid,SMILES_by_CAS
C07755,[Mg++].[Cl-].[Cl-]
C07756,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O
C07758,N[S](=O)(=O)c1cc2c(NC(Cc3ccccc3)N[S]2(=O)=O)cc1C(F)(F)F
C07759,N[S](=O)(=O)c1cc2c(NC(=N[S]2(=O)=O)CSCc3ccccc3)cc1Cl
C07760,CCN[C@H]1CN(CCCOC)[S](=O)(=O)c2sc(cc12)[S](N)(=O)=O
C07761,[Na+].CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3sccc3)C2=O)C([O-])=O
C07763,N[S](=O)(=O)c1cc2c(NCN[S]2(=O)=O)cc1C(F)(F)F
C07764,CN1N=C(SC1=NC(C)=O)[S](N)(=O)=O
C07765,CN1C(CCl)Nc2cc(Cl)c(cc2[S]1(=O)=O)[S](N)(=O)=O
C07766,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(cc2[S]1(=O)=O)[S](N)(=O)=O
C07767,N[S](=O)(=O)c1cc2c(NC(N[S]2(=O)=O)C(Cl)Cl)cc1Cl
C07768,[H+].[Cl-].CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O
C07770,CC1(C)[C@@H](N2[C@@H](CC2=O)[S]1(=O)=O)C(O)=O
C07771,C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)[S]1(=O)=O)C(O)=O
C07773,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc2ccccc2Cl
C07774,CN1CCC(CC1)=C2c3ccccc3CCc4cccnc24
C07777,CC(C)(C)c1ccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)cc1
C07778,OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3
C07780,C[NH+](C)CCC(c1ccc(Cl)cc1)c2ccccn2.OC(=O)\C=C/C([O-])=O
C07783,CN(C)CC[C@@H](c1ccc(Cl)cc1)c2ccccn2.OC(=O)\C=C/C(O)=O
C07784,[H+].[Cl-].CN(C)CCOC(c1ccccc1)c2ccccc2
C07785,CCOCCn1c2ccccc2nc1N3CCCN(C)CC3.OC(=O)\C=C/C(O)=O
C07789,CN(C)CC\C=C1/c2ccccc2COc3ccc(CC(O)=O)cc13
C07790,CN1CCC2=C(C1)C(c3ccccc3)c4ccccc24
C07792,CN[S](=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1
C07798,CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O.C[S](O)(=O)=O
C07805,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1
C07807,[H+].[H+].[Cl-].[Cl-].CC(C)(C)NCC(O)c1ccc(O)c(CO)n1
C07809,CC1=C(Oc2c(cccc2C1=O)C(=O)OCCN3CCCCC3)c4ccccc4
C07811,C[N+]1(C)CCN(CC1)CC(O)(C2CCCCC2)c3ccccc3.O[S]([O-])(=O)=O
C07813,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C
C07814,CN1C2CCC1CC(C2)OC(=O)C(O)c3ccccc3
C07815,None
C07816,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
C07817,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c5occc5)C(=O)CCl
C07818,[Br-].C[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3
C07819,CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O
C07825,CCOC(=O)c1ncn2c1CN(C)C(=O)c3cc(F)ccc23
C07826,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O
C07827,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
C07829,CCC1(C(=O)NC(=O)N(C)C1=O)c2ccccc2
C07832,NC(=O)OC1(CCCCC1)C#C
C07833,CCC(O)(\C=C\Cl)C#C
C07834,CC1OC(C)OC(C)O1
C07836,None
C07837,Cc1c[nH]nc1
C07838,None
C07839,CCN1C(=O)NC(C1=O)c2ccccc2
C07840,[Na+].[Na+].[O-][P]([O-])(=O)OCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3
C07841,CC[C@@H](N1CCCC1=O)C(N)=O
C07843,[H+].[Cl-].CNC1(CCCCC1=O)c2ccccc2Cl
C07844,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
C07846,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O
C07849,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc3ccccc13
C07851,CN1CCCN=C1COC(=O)C(O)(C2CCCCC2)c3ccccc3
C07852,[Cl-].CCCOC(C(=O)OC1CC[NH+](C)CC1)(c2ccccc2)c3ccccc3
C07853,[Br-].C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(c3ccccc3)c4ccccc4
C07861,[Cl-].CC[N+](CC)(CC)CCC(O)(C1CCCCC1)c2ccccc2
C07862,[I-].CC[N+](CC)(CC)CCC(O)(C1CCCCC1)c2ccccc2
C07864,COCCCOc1ccnc(C[S](=O)c2[nH]c3ccccc3n2)c1C
C07865,[Na+].COCCCOc1ccnc(C[S](=O)c2[n-]c3ccccc3n2)c1C
C07866,O=C1CN2C3CC(CC2CC1C3)OC(=O)c4c[nH]c5ccccc45
C07868,[H+].[Cl-].CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
C07870,None
C07871,OC(=O)C1(CCN(CC1)CCC(C#N)(c2ccccc2)c3ccccc3)c4ccccc4
C07872,CCOC(=O)C1(CCN(CC1)CCC(C#N)(c2ccccc2)c3ccccc3)c4ccccc4
C07874,[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)[S]([O-])(=O)=O
C07875,CCCCOC(=O)c1ccc(N)cc1
C07876,[OH-].[OH-].[Mg++]
C07877,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
C07879,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
C07880,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
C07881,[H+].[Cl-].CCCCOc1ccc(cc1)C(=O)CCN2CCCCC2
C07884,C[C@H](N)Cc1ccccc1
C07886,Brc1c(NC2=NCCN2)ccc3nccnc13
C07887,CCCCN1CCCC[C@H]1C(=O)Nc2c(C)cccc2C
C07888,ClCCN(CCCl)[P]1(=O)NCCCO1
C07889,CNC(C)(C)Cc1ccccc1
C07890,COc1ccc(OC)c(c1)C(O)CNC(=O)CN
C07892,CCCCOc1ccc(OCCCN2CCOCC2)cc1
C07894,[H+].[Cl-].CCN(CC)CCOC(=O)c1ccc(N)cc1
C07895,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC
C07897,None
C07898,[H+].[Cl-].C1CN=C(Cc2cccc3ccccc23)N1
C07899,NC1=NC(=O)C(O1)c2ccccc2
C07903,None
C07904,C[C@H]1[C@@H](OCCN1C)c2ccccc2
C07905,Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F
C07906,[Cl-].C1CN2C[C@@H](N=C2S1)c3ccccc3.[H+]
C07908,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(C)\CCC(=O)OCCN3CCOCC3
C07909,None
C07910,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
C07911,C[C@@H](N)[C@@H](O)c1ccccc1
C07912,C1CC(C2=NCCN2)c3ccccc3C1
C07913,[Cl-].Cc1cc(cc(C)c1CC2=NCC[NH2+]2)C(C)(C)C
C07914,CC(C)(C)NC[C@H](O)COc1cccc2C(=O)CCCc12
C07915,CC(C)NCC(O)COc1cc(C)c(OC(C)=O)c(C)c1C
C07919,[I-].[I-].COc1ccc2C[C@@H]3c4c(CC[N+]3(C)C)cc(OC)c(OC)c4Oc5ccc(C[C@H]6c7cc(Oc1c2)c(OC)cc7CC[N+]6(C)C)cc5
C07921,C[C@](N)(Cc1ccc(O)cc1)C(O)=O
C07927,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
C07928,OCC(O)COc1ccc(Cl)cc1
C07930,NC(=O)OCC(O)COc1ccc(Cl)cc1
C07931,Clc1ccc2OC(=O)Nc2c1
C07933,[Na+].[O-][N+](=O)c1ccc(cc1)c2oc(cc2)\C=N\N3CC(=O)[N-]C3=O
C07934,Cc1cc(C)cc(OCC2CNC(=O)O2)c1
C07935,CN(C)CCOC(c1ccccc1)c2ccccc2C
C07937,Nc1sc2cc(OC(F)(F)F)ccc2n1
C07939,[Cl-].NC12CC3CC(CC(C3)C1)C2.[H+]
C07941,OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4
C07943,CCN(CC)C(=O)/C(=C/c1cc(O)c(O)c(c1)[N+]([O-])=O)C#N
C07946,None
C07949,Cc1ccc(cc1)C(=O)c2cc(O)c(O)c(c2)[N+]([O-])=O
C07952,[H+].[Cl-].CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
C07953,CN(C)CC\C=C/1c2ccccc2Sc3ccc(Cl)cc13
C07955,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
C07956,CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
C07964,[Li+].[Li+].[O-]C([O-])=O
C07965,[Cl-].CCCC[S](=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(O)=O.[H+]
C07966,COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)c1c2ccc(F)cc2)C(C)C
C07967,Oc1c(Cl)cc(Cl)cc1Sc2cc(Cl)cc(Cl)c2O
C07968,CCN(CC)C(=O)N1CCN(C)CC1
C07971,CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl
C07973,C1CNCCN1
C07974,Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)[S](O)(=O)=O)[S](O)(=O)=O)[S](O)(=O)=O)c2)C(=O)Nc7ccc(c8cc(cc(c78)[S](O)(=O)=O)[S](O)(=O)=O)[S](O)(=O)=O
C07982,[H+].[Cl-].CN(C)CCCN1c2ccccc2CCc3ccccc13
C07995,[Mg++].Oc1ccccc1C([O-])=O.Oc2ccccc2C([O-])=O
C07996,CCC1=C(C[C@H]2NCCc3cc(OC)c(OC)cc23)C[C@@H]4N(CCc5cc(OC)c(OC)cc45)C1
C07997,NCCCC(N)(C(F)F)C(O)=O
C07999,[O-][N+](=O)c1oc(cc1)\C=N\N2CCOC2=O
C08001,Nc1nc(N)nc(Nc2ccc(cc2)[As]3SCC(CO)S3)n1
C08002,CC1C[S](=O)(=O)CCN1\N=C\c2oc(cc2)[N+]([O-])=O
C08005,[H+].O.[Cl-].CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O
C08007,[Cl-].COC12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56.[H+]
C08010,None
C08012,CC[C@H](OC(C)=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c2ccccc2
C08014,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc4ccc(O)cc34
C08018,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O
C08019,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35
C08021,[H+].[Cl-].CCC(=O)N(c1ccccc1)C2(CCN(CCC(=O)OC)CC2)C(=O)OC
C08022,CCC(=O)N(c1ccccc1)C2(CCN(CCc3sccc3)CC2)COC
C08024,COc1ccc2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5Oc1c2[C@]45CCN3C
C08026,[Cl-].COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O.[H+]
C08027,Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=C)CC[C@@]35O)CC6CC6
C08029,[Cl-].CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)c4cccc(O)c4C(=C3C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O)O.[H+]
C08031,CCCCCCCCCCCCO[S](O)(=O)=O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(=O)CC)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
C08032,None
C08033,CCN(CC)CC[S](=O)(=O)[C@@H]1CCN2C1C(=O)O[C@H](C(C)C)[C@H](C)\C=C/C(=O)NC/C=C\C(=C/[C@@H](O)CC(=O)Cc3occ(n3)C2=O)C
C08034,None
C08037,None
C08038,NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
C08039,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
C08040,[K+].I[I-]I
C08042,NC(=O)N/N=C/c1oc(cc1)[N+]([O-])=O
C08043,II.C=CN1CCCC1=O
C08046,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.O[S](O)(=O)=O
C08050,Cc1sc(N[S](=O)(=O)c2ccc(N)cc2)nn1
C08051,[Na+].CC(=O)[N-][S](=O)(=O)c1ccc(N)cc1
C08052,CCN1N=C(C(O)=O)C(=O)c2cc3OCOc3cc12
C08053,[H+].[Cl-].CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12
C08054,[H+].[Cl-].COc1c(N2CC3CCCNC3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(O)=O
C08055,[Na+].Nc1ccc(c(O)c1)C([O-])=O
C08057,NC1CONC1=O
C08059,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4C(=C(NC(=O)C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)\C)C(=C/NN5CCN(CC5)C6CCCC6)\C(=O)c4c3C2=O)O
C08060,[nH]1c2ccccc2c3ccccc13
C08061,None
C08062,None
C08063,O=C1CCC(=O)CC1
C08064,OC[C@H]1O[C@@H](Oc2cc3OC(=CC(=O)c3c(O)c2[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c5ccc(O)cc5)[C@H](O)[C@@H](O)[C@@H]1O
C08065,Clc1ccc(CCC(Cn2ccnc2)Sc3c(Cl)cccc3Cl)cc1
C08066,O[N+]([O-])=O.Clc1ccc(CCC(Cn2ccnc2)Sc3c(Cl)cccc3Cl)cc1
C08067,CN(Cc1ccc(cc1)C(C)(C)C)Cc2cccc3ccccc23
C08068,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
C08069,O[N+]([O-])=O.Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
C08070,O[N+]([O-])=O.Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
C08071,CN(C\C=C\c1ccccc1)Cc2cccc3ccccc23
C08072,[H+].[Cl-].CN(C\C=C\c1ccccc1)Cc2cccc3ccccc23
C08073,None
C08074,O[N+]([O-])=O.Clc1ccc(CO\N=C(/Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
C08075,O[N+]([O-])=O.Clc1ccc(CO\N=C(/Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
C08076,Clc1ccc(CSC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
C08079,CN(C\C=C\C#CC(C)(C)C)Cc1cccc2ccccc12
C08080,CC(C)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c5ccc(Cl)cc5Cl)cc2
C08082,Clc1ccc(C(Cn2ccnc2)OCc3ccsc3Cl)c(Cl)c1
C08086,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)[S](=O)(=O)c3ccc(N)cc3
C08087,CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c3[nH]c4ccc(N[S](C)(=O)=O)cc4c3.C[S](O)(=O)=O
C08088,FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC3CC3
C08089,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H]3[C@H](O)Cc4ccccc34)Cc5cccnc5.O[S](O)(=O)=O
C08090,C/C=C(c1ccc(O)cc1)/C(=C/C)c2ccc(O)cc2
C08091,Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C.C[S](O)(=O)=O
C08092,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
C08093,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O[P](O)(O)=O
C08094,[H+].[Cl-].CC(N)C12CC3CC(CC(C3)C1)C2
C08095,CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O)N=C(N)N
C08098,[Na+].Cc1sc(SCC2=C(N3C(SC2)C(NC(=O)Cn4cnnn4)C3=O)C([O-])=O)nn1
C08099,O.CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(O)=O
C08100,[Na+].CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3sccc3)C2=O)C([O-])=O
C08101,[Na+].CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C([O-])=O
C08102,[Na+].Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](OC=O)c4ccccc4)C3=O)C([O-])=O
C08103,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc3nnnn3C
C08104,[Na+].CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C([O-])=O)CSc3nnnn3C
C08105,[Na+].[Na+].O[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)CSc3nnnn3C[S]([O-])(=O)=O)c4ccccc4
C08106,[Na+].CO[C@]1(NC(=O)Cc2sccc2)[C@H]3SCC(=C(N3C1=O)C([O-])=O)COC(N)=O
C08107,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OC(C)OC(C)=O)COC(N)=O)/c3occc3
C08108,[Na+].CO\N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)COC(N)=O)\c3occc3
C08109,O.N[C@@H](C(=O)NC1C2CCC(=C(N2C1=O)C(O)=O)Cl)c3ccccc3
C08110,Nc1scc(n1)\C(=N\O)C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)C=C
C08111,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[N+]3(C)CCCC3)/c4csc(N)n4
C08112,[Na+].CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C([O-])=O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O
C08113,[Na+].CO\N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)COC(C)=O)\c3csc(N)n3
C08114,COCC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N\OC)/c3csc(N)n3)C2=O)C(O)=O
C08115,COCC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N\OC)/c3csc(N)n3)C2=O)C(=O)OC(C)OC(=O)OC(C)C
C08117,Nc1scc(n1)\C(=C\CC(O)=O)C(=O)N[C@H]2[C@H]3SCC=C(N3C2=O)C(O)=O
C08118,[Na+].CO\N=C(C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C([O-])=O)\c3csc(N)n3
C08122,[Cl-].CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)C(NC(=O)[C@H](N)c3ccccc3)C2=O.[H+]
C08123,[Cl-].CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O.[H+]
C08124,[Na+].CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C([O-])=O
C08126,[K+].CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C([O-])=O
C08127,C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3/C[C@@H](O)C[C@H](O)C3
C08129,[Ca++].[O-]C([O-])=O
C08130,[Cl-].[Cl-].[Ca++]
C08133,[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
C08136,[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O
C08141,[Na+].[Na+].O[P]([O-])(=O)C(Sc1ccc(Cl)cc1)[P](O)([O-])=O
C08142,[F-].[Na+]
C08145,CC\C(=C(\CC)c1ccc(O[P](O)(O)=O)cc1)c2ccc(O[P](O)(O)=O)cc2
C08146,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2
C08148,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
C08149,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
C08150,C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(C)=O)C(C)=O)[C@@]4(C)CCC(=O)C=C14
C08151,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
C08152,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C
C08153,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
C08154,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C
C08155,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2OC(=O)CCc5ccccc5
C08156,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5
C08157,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C08158,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
C08159,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N
C08160,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F
C08161,CCN(CC)CCOc1ccc(cc1)\C(=C(Cl)\c2ccccc2)c3ccccc3.OC(=O)CC(O)(CC(O)=O)C(O)=O
C08162,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
C08163,N#Cc1ccc(cc1)C(n2cncn2)c3ccc(cc3)C#N
C08164,CC1(C)NC(=O)N(c2ccc(c(c2)C(F)(F)F)[N+]([O-])=O)C1=O
C08166,CN(C)CCOc1ccc(cc1)\C(=C(\CCCl)c2ccccc2)c3ccccc3
C08169,CN1C(=C(/O)Nc2sc(C)cn2)/C(=O)c3ccccc3[S]1(=O)=O
C08171,[Na+].[O-]C(=O)c1ccccc1S
C08173,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
C08174,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O
C08175,[Na+].[Na+].C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[P]([O-])([O-])=O
C08176,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)COC(=O)CCC5CCCC5)[C@@]4(C)C[C@H](O)[C@H]23
C08178,[Na+].C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)COC(=O)CCC([O-])=O)[C@@]4(C)C[C@H](O)[C@H]23
C08179,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14
C08180,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
C08182,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
C08183,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
C08184,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O
C08185,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C
C08186,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
