KEGGid,SMILES_by_CAS
C00091,CC(C)(CO[P](O)(=O)O[P](O)(=O)OCC1OC(C(O)C1O[P](O)(O)=O)n2cnc3c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O
C00092,OC1OC(CO[P](O)(O)=O)C(O)C(O)C1O
C00093,None
C00094,None
C00095,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO
C00096,NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(=O)OC4OC(CO)C(O)C(O)C4O)C(O)C3O)c2N1
C00097,NC(CS)C(O)=O
C00098,None
C00099,NCCC(O)=O
C00100,CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OCC1OC(C(O)C1O[P](O)(O)=O)n2cnc3c(N)ncnc23
C00101,NC1=NC(=O)C2=C(NC[C@H](CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
C00102,Oc1c(Cl)cc(cc1Cl)N=C2C=CC(=O)C=C2
C00103,OCC1OC(O[P](O)(O)=O)C(O)C(O)C1O
C00104,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23
C00105,OC1C(O)C(OC1CO[P](O)(O)=O)N2C=CC(=O)NC2=O
C00106,O=C1NC=CC(=O)N1
C00107,None
C00108,Nc1ccccc1C(O)=O
C00109,CCC(=O)C(O)=O
C00110,None
C00111,OCC(=O)CO[P](O)(O)=O
C00112,NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C2O
C00113,OC(=O)c1[nH]c2c(c1)C(=O)C(=O)c3nc(cc(C(O)=O)c23)C(O)=O
C00114,C[N+](C)(C)CCO
C00116,OCC(O)CO
C00117,O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@@H](O)C=O
C00118,O[C@H](CO[P](O)(O)=O)C=O
C00119,None
